Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
../dataset/IMG/robocam_2017_08_24_15_00_42_159.jpg;0;0.900066;0;0.9165038;113.4893;9.142839;0.02824219;89.43378;0.11598
../dataset/IMG/robocam_2017_08_24_15_00_42_209.jpg;0;1;0;0.9320918;113.4897;9.182165;0.1242284;89.45999;0.1089961
../dataset/IMG/robocam_2017_08_24_15_00_42_259.jpg;0;0.9495519;0;0.9802399;113.4903;9.245047;0.3418575;89.46673;0.09814605
../dataset/IMG/robocam_2017_08_24_15_00_42_309.jpg;0;0.800716;0;1.009311;113.491;9.288488;0.4957661;89.45994;0.07084619
../dataset/IMG/robocam_2017_08_24_15_00_42_359.jpg;0;0.649888;0;1.050414;113.4919;9.355336;0.7297934;89.44687;0.02306958
../dataset/IMG/robocam_2017_08_24_15_00_42_409.jpg;0;0.4999629;0;1.0681;113.4923;9.4007;0.8777807;89.44739;-0.001928862
../dataset/IMG/robocam_2017_08_24_15_00_42_459.jpg;0;0.349714;0;1.083705;113.4925;9.469201;1.067132;89.4743;359.9936
../dataset/IMG/robocam_2017_08_24_15_00_42_509.jpg;0;0.199882;0;1.091828;113.4927;9.514758;1.165213;89.48634;-0.00214594
../dataset/IMG/robocam_2017_08_24_15_00_42_560.jpg;0;0.05048496;0;1.098059;113.4931;9.581901;1.2395;89.46004;-0.001090469
../dataset/IMG/robocam_2017_08_24_15_00_42_609.jpg;0;0.09965104;0;1.098297;113.4936;9.625617;1.22535;89.44387;-0.0007854754
../dataset/IMG/robocam_2017_08_24_15_00_42_659.jpg;0;0.2496661;0;1.096017;113.4944;9.691133;1.174236;89.45483;-0.0003589179
../dataset/IMG/robocam_2017_08_24_15_00_42_709.jpg;0;0.3993001;0;1.105584;113.495;9.7351;1.135222;89.43633;-0.0001047929
../dataset/IMG/robocam_2017_08_24_15_00_42_759.jpg;0;0.549669;0;1.136732;113.4959;9.801771;1.075902;89.42577;-0.0002498896
../dataset/IMG/robocam_2017_08_24_15_00_42_809.jpg;0;0.698763;0;1.156291;113.4966;9.847587;1.054791;89.42474;-0.0002787472
../dataset/IMG/robocam_2017_08_24_15_00_42_859.jpg;0;0.6478831;0;1.175352;113.4975;9.918537;1.051912;89.41821;-0.0003560015
../dataset/IMG/robocam_2017_08_24_15_00_42_909.jpg;0;0.4975771;0;1.194268;113.4982;9.966703;1.054434;89.41402;-0.0003395622
../dataset/IMG/robocam_2017_08_24_15_00_42_959.jpg;0;0.347613;0;1.222595;113.4992;10.03971;1.052928;89.40894;-0.0002986261
../dataset/IMG/robocam_2017_08_24_15_00_43_009.jpg;0;0.1979431;0;1.230071;113.4998;10.08867;1.04463;89.40456;-0.000275966
../dataset/IMG/robocam_2017_08_24_15_00_43_059.jpg;0;0.04774797;0;1.226112;113.5009;10.16201;1.011989;89.39593;-0.0002069953
../dataset/IMG/robocam_2017_08_24_15_00_43_109.jpg;0;0;0;1.229244;113.5015;10.21043;0.970329;89.39185;-0.0001528761
../dataset/IMG/robocam_2017_08_24_15_00_43_159.jpg;0;0;0;1.225606;113.5026;10.28249;0.8844874;89.38583;-2.917394E-05
../dataset/IMG/robocam_2017_08_24_15_00_43_209.jpg;0;0;0;1.223143;113.5032;10.33018;0.8149493;89.38207;0.0004641446
../dataset/IMG/robocam_2017_08_24_15_00_43_259.jpg;0;0;0;1.219415;113.5042;10.40128;0.6970648;89.3784;0.005157107
